START application at (2014-9-5(SUN) 20:2:48)
  Execute SQL: SELECT date,content,category,price FROM income WHERE 1 ORDER BY date at (2014-9-5(SUN) 20:2:58)
    >> Select[
              2014-5-17, 家賃, 住宅費, 89500
              2014-5-18, アマゾン, 物品購入費, 2951
              2014-5-19, 飲み会, 食費, 3600
              2014-5-19, コンビニ, 食費, 653
              2014-5-19, 電気代, 水道光熱費, 2324
              2014-5-20, 外食(ニラレバ炒め), 食費, 630
              2014-5-20, 外食(マクド), 食費, 576
              2014-5-21, チャージ, 交通費, 3000
              2014-5-21, スーパー, 食費, 1879
              2014-5-22, コンビニ, 食費, 465
              2014-5-22, 外食(パスタ), 食費, 928
              2014-5-22, ゴルフ, 娯楽費, 780
              2014-5-24, ガスト, 食費, 1060
              2014-5-24, ゴルフ, 娯楽費, 1200
              2014-5-24, 卓球, 娯楽費, 700
              2014-5-24, 自動販売機, 食費, 140
              2014-5-24, 自動販売機, 飲料費, 130
              2014-5-25, SALVATORE(宅配), 食費, 3455
              2014-5-25, 自動販売機, 飲料費, 160
              2014-5-25, ビリヤード, 娯楽費, 970
              2014-5-25, ダーツ, 娯楽費, 300
              2014-5-26, コンビニ, 物品購入費+食費, 758
              2014-5-26, 自動販売機, 飲料費, 300
              2014-5-26, チャージ, 交通費, 1000
              2014-5-27, チャージ, 交通費, 2000
              2014-5-27, リンガーハット, 食費, 710
              2014-5-28, 外食(つけ麺), 食費, 780
              2014-5-28, ゴルフ, 娯楽費, 780
              2014-5-28, UCOM, 通信費, 2916
              2014-5-29, コンビニ, 食費, 517
              2014-5-29, 飲み会, 食費, 2900
              2014-5-29, チャージ, 交通費, 2000
              2014-5-30, 外食(回転寿司), 食費, 1200
              2014-6-1, スタバ, 食費, 648
              2014-6-1, 外食(イタリアン), 食費, 5000
              2014-6-1, 展望台入場料, 遊興費, 700
              2014-6-1, キーホルダー, 交際費, 648
              2014-6-1, 水族館+プラネタリウム, 遊興費, 2700
              2014-6-1, 外食(パスタ), 食費, 2000
              2014-6-2, チャージ(食堂用), 食費, 3000
              2014-6-2, チャージ, 交通費, 2000
              2014-6-2, コンビニ, 食費, 1120
              2014-6-2, ガス代, 水道光熱費, 3091
              2014-6-3, スーパー, 食費, 2554
              2014-6-5, コンビニ, 食費, 906
              2014-6-6, エポスカード振込, 被服費, 26755
              2014-6-8, スポーツショップ, 被服費, 6183
              2014-6-8, スーパー, 食費, 1055
              2014-6-8, 宅配(PIZZA-LA), 食費, 2300
              2014-6-9, コンビニ, 食費, 1014
              2014-6-9, チャージ, 交通費, 2000
              2014-6-9, チャージ(食堂用), 食費, 3000
              2014-6-10, 外食(中華), 食費, 590
              2014-6-10, 自動販売機, 飲料費, 140
              2014-6-11, スーパー, 食費, 2061
